index,email_from,data,label
0,['lehoangminh.ai.tech@gmail.com'],"Unprecedented shocking promotion: shop without paying upfront. You also get many attractive gifts when you register today. Limited quantity, so the offer is only for the fastest customers. Visit our website now to claim your reward.",spam
1,['lehoangminh.ai.tech@gmail.com'],"Get 5 million VND instantly with just a few simple steps when you sign up for a new account. The program applies to the first 100 people only, so hurry up. This is a rare chance to win valuable prizes. Follow the instructions in this email to receive your money now.",spam
2,['lehoangminh.ai.tech@gmail.com'],"You have won the special prize from our promotion program. Please confirm your personal information within 24 hours to receive your prize. If you miss the deadline, the prize will be given to someone else. Don’t miss this rare opportunity.",spam
3,['lehoangminh.ai.tech@gmail.com'],"Secret information just for you: a huge cash opportunity with one click. Visit the link below for more details. Do not share this email with anyone else to protect your benefits. Good luck on this life-changing chance.",spam
4,['lehoangminh.ai.tech@gmail.com'],"Click the link to receive your prize instantly! You are one of the lucky few selected. The valuable prize worth up to 100 million VND is waiting for you. Fill out your personal information now to confirm your benefits.",spam
5,['lehoangminh.ai.tech@gmail.com'],"URGENT ACTION REQUIRED: Your account has been temporarily suspended due to suspicious activity. Click this link immediately to verify your identity and restore access. Failure to comply will result in permanent closure.",spam
6,['lehoangminh.ai.tech@gmail.com'],"Congratulations! You have been selected as the grand prize winner of our International Sweepstakes. Your winning ID is GSW339. Reply with your banking details to claim your $50,000 prize before the 48-hour deadline.",spam
7,['lehoangminh.ai.tech@gmail.com'],"Security Alert: We detected an unauthorized login attempt from a new location. Please review your recent activity and change your password using the button below to secure your account. DO NOT ignore this warning.",spam
8,['lehoangminh.ai.tech@gmail.com'],"Limited-Time Offer: Discover a secret stock that is guaranteed to jump 500% in the next week! No risk involved, just click to subscribe to our exclusive, private financial newsletter. Free access ends today.",spam
9,['lehoangminh.ai.tech@gmail.com'],"You have an unclaimed cash balance of $987.45 waiting for you! This is money owed to you. Fill out the simple form attached to this email to transfer the funds to your account now. It's fast, free, and easy.",spam
10,['lehoangminh.ai.tech@gmail.com'],"You have an overdue payment on your credit card. Failure to pay within 24 hours will result in severe penalties and credit score damage. Click here to instantly resolve the issue and avoid legal action.",spam
11,['lehoangminh.ai.tech@gmail.com'],"Your device has been compromised! Install our recommended anti-virus software immediately via the link provided. This is the only way to protect your personal files and stop the attack.",spam
12,['lehoangminh.ai.tech@gmail.com'],"Final Notice: We have tried to contact you multiple times regarding your outstanding tax refund of $1,500. Click the secure link now to provide bank details or forfeit the entire amount.",spam
13,['lehoangminh.ai.tech@gmail.com'],"Make $10,000 a month working from home with no experience required! Our revolutionary system does all the work for you. Sign up for a free webinar and unlock your financial freedom.",spam
14,['lehoangminh.ai.tech@gmail.com'],"New Law Passed! Your car warranty is about to expire. Press 1 to speak to a representative or click the link to renew your coverage before it’s too late. Protect your vehicle now!",spam
15,['lehoangminh.ai.tech@gmail.com'],"We've detected a possible breach in your Netflix account. To avoid interruption of service, click the verification link below and update your billing information within 1 hour.",spam
16,['lehoangminh.ai.tech@gmail.com'],"Act fast! Only 3 houses left in the luxury vacation giveaway. Enter your personal information for a chance to win an all-expenses-paid trip to the Bahamas.",spam
17,['lehoangminh.ai.tech@gmail.com'],"Debt Relief Opportunity: Are you drowning in credit card debt? Our expert advisors can cut your debt by up to 70%. Respond 'YES' to this email to get your free, no-obligation consultation.",spam
18,['lehoangminh.ai.tech@gmail.com'],"This is your third and final warning! Your email mailbox is full and will be deleted. Click here to increase your storage capacity immediately. Do not delay!",spam
19,['lehoangminh.ai.tech@gmail.com'],"Meet beautiful singles in your area tonight! Create a free profile and start chatting instantly. Stop waiting, your perfect match is just a click away.",spam
20,['lehoangminh.ai.tech@gmail.com'],"Private Message from a Hacker: We have access to your webcam and recorded compromising footage. Pay $500 in Bitcoin within 48 hours to prevent the video from being released.",spam
21,['lehoangminh.ai.tech@gmail.com'],"Official PayPal Notification: A large transfer of $2,500 was initiated from your account. If you did not authorize this, call our fraud department number (listed below) right away.",spam
22,['lehoangminh.ai.tech@gmail.com'],"Investment Guru Revealed: Get access to the stock market secrets that rich people don't want you to know. Join our elite private group for just $99 this month.",spam
23,['lehoangminh.ai.tech@gmail.com'],"Your subscription for 'Advanced Data Security' has been automatically renewed for $399.99. If this is an error, please contact customer support immediately for a full refund.",spam
24,['lehoangminh.ai.tech@gmail.com'],"We are conducting a mandatory survey on customer satisfaction. Complete the 5-minute survey and receive a $100 gift card to Amazon.",spam
25,['lehoangminh.ai.tech@gmail.com'],"Warning: Your bank account login details have been compromised. Click the link to update your details and secure your funds. Do this immediately!",spam
26,['lehoangminh.ai.tech@gmail.com'],"Get a free iPhone 15! You have been randomly selected from millions of users. Just answer three simple questions to claim your brand-new smartphone.",spam
27,['lehoangminh.ai.tech@gmail.com'],"Congratulations! Your eligibility for student loan forgiveness has been approved. Call our toll-free number now to finalize the paperwork and wipe out your debt.",spam
28,['lehoangminh.ai.tech@gmail.com'],"Receive a FREE Sample Box of the World's Best Gourmet Coffee! Just pay $4.99 for shipping. Click here to order your sample before they run out.",spam
29,['lehoangminh.ai.tech@gmail.com'],"You have 4 new voice messages waiting. Click the link to listen to them now. Sender is unknown, so proceed with caution and verify the source.",spam
30,['lehoangminh.ai.tech@gmail.com'],"The new action movie just released has received many compliments from critics. If you love this genre, it will surely be a great choice. Invite your friends to watch for a more exciting experience. Don’t forget to share your feelings after watching.",entertainment
31,['lehoangminh.ai.tech@gmail.com'],"The biggest entertainment event of the year will take place next month at the city center. Many exciting activities and valuable prizes are waiting for you. Register early to receive free tickets and special gifts. Get ready for an unprecedented grand event.",entertainment
32,['lehoangminh.ai.tech@gmail.com'],"This week’s hot music chart has been updated on online platforms. Spend time listening to relax after working hours. If you find a good song, recommend it to friends to enjoy together. Music makes life more interesting.",entertainment
