index,email_from,data,label
0,['lehoangminh.ai.tech@gmail.com'],"Unprecedented shocking promotion: shop without paying upfront. You also get many attractive gifts when you register today. Limited quantity, so the offer is only for the fastest customers. Visit our website now to claim your reward.",spam
1,['lehoangminh.ai.tech@gmail.com'],"Get 5 million VND instantly with just a few simple steps when you sign up for a new account. The program applies to the first 100 people only, so hurry up. This is a rare chance to win valuable prizes. Follow the instructions in this email to receive your money now.",spam
2,['lehoangminh.ai.tech@gmail.com'],"You have won the special prize from our promotion program. Please confirm your personal information within 24 hours to receive your prize. If you miss the deadline, the prize will be given to someone else. Don’t miss this rare opportunity.",spam
3,['lehoangminh.ai.tech@gmail.com'],"Secret information just for you: a huge cash opportunity with one click. Visit the link below for more details. Do not share this email with anyone else to protect your benefits. Good luck on this life-changing chance.",spam
4,['lehoangminh.ai.tech@gmail.com'],"Click the link to receive your prize instantly! You are one of the lucky few selected. The valuable prize worth up to 100 million VND is waiting for you. Fill out your personal information now to confirm your benefits.",spam
5,['lehoangminh.ai.tech@gmail.com'],"The new action movie just released has received many compliments from critics. If you love this genre, it will surely be a great choice. Invite your friends to watch for a more exciting experience. Don’t forget to share your feelings after watching.",entertainment
6,['lehoangminh.ai.tech@gmail.com'],"The biggest entertainment event of the year will take place next month at the city center. Many exciting activities and valuable prizes are waiting for you. Register early to receive free tickets and special gifts. Get ready for an unprecedented grand event.",entertainment
7,['lehoangminh.ai.tech@gmail.com'],"This week’s hot music chart has been updated on online platforms. Spend time listening to relax after working hours. If you find a good song, recommend it to friends to enjoy together. Music makes life more interesting.",entertainment
8,['lehoangminh.ai.tech@gmail.com'],"Many new movies are released this week with attractive content. This is a great chance to relax with friends after study hours. Book tickets in advance for better seats and comfort. Don’t forget to share your thoughts after watching the movie.",entertainment
9,['lehoangminh.ai.tech@gmail.com'],"Join this weekend’s event to receive many attractive gifts. There will be fun activities and group games. There are also special musical performances for you to enjoy. Don’t forget to invite more friends for extra excitement.",entertainment
10,['lehoangminh.ai.tech@gmail.com'],"This week’s homework is quite a lot and some types are harder than usual. You should start early to avoid stress at the weekend. If you encounter difficult exercises, discuss with friends to find solutions. Remember to carefully check your work before submitting.",study
11,['lehoangminh.ai.tech@gmail.com'],"The official exam schedule has been announced and you should arrange your study time properly. Break down each topic to study efficiently. Don’t wait until the last minute to start reviewing. If you feel stressed, take a break to keep your mind comfortable.",study
12,['lehoangminh.ai.tech@gmail.com'],"New study materials have been updated on the system, remember to download them. Also, refer to more books to expand your knowledge. Don’t forget to practice different types of exercises. I’m always ready to help if you need further explanations.",study
13,['lehoangminh.ai.tech@gmail.com'],"Don’t forget to complete all assigned homework for this week. Regular studying helps you absorb knowledge more effectively. If you have questions, ask teachers for timely answers. You can also study in groups to exchange experiences.",study
14,['lehoangminh.ai.tech@gmail.com'],"Wish you good study and high results in the upcoming exam. Don’t forget to review key knowledge and practice frequently. Take care of your health to have a relaxed mind during the exam. If you face difficulties, ask teachers or friends for support immediately.",study
15,['lehoangminh.ai.tech@gmail.com'],"I just found a new coffee shop with a quiet and super cute space. It’s an ideal place to chat or work on weekends. If you’re free, we can visit this Saturday afternoon. Don’t forget to bring your laptop if you want to work together.",friends
16,['lehoangminh.ai.tech@gmail.com'],"The group plans to organize a picnic at Central Park this Sunday. There will be many group games for everyone to join. Prepare some snacks for us to enjoy together. Hope you’ll join to make the picnic more fun.",friends
17,['lehoangminh.ai.tech@gmail.com'],"I just uploaded our trip album for everyone to see. Everyone praises your natural and beautiful photos. Next time we could try a picnic in the suburbs for a change. If you know any interesting places, please recommend them to the group.",friends
18,['lehoangminh.ai.tech@gmail.com'],"See you next time, I’m really looking forward to meeting you and everyone. Last time was so much fun and created lots of memories. Hope this time will have even more interesting activities. Don’t forget to bring your camera to capture great moments.",friends
19,['lehoangminh.ai.tech@gmail.com'],"This weekend our group plans a small picnic at the park. Each person will prepare a dish to share together. Hope you’ll join for more happy memories. If you agree, confirm soon so I can make a food and activity list.",friends
20,['lehoangminh.ai.tech@gmail.com'],"The company will organize a soft skills training next week for all employees. This is a good chance to improve communication and teamwork. Please register via the link attached in this email. All details about the training will be sent after you complete registration.",work
21,['lehoangminh.ai.tech@gmail.com'],"The project meeting will take place on Wednesday afternoon in the main meeting room. The agenda includes progress review and new task assignment for next week. Everyone is requested to prepare comments before the meeting. Full participation will help the project achieve the desired results.",work
22,['lehoangminh.ai.tech@gmail.com'],"This week’s work report must be submitted before 5pm Friday. Please check the data carefully to avoid errors in the summary. If you need help, contact IT for early resolution. Don’t forget to add improvement suggestions for better project efficiency.",work
23,['lehoangminh.ai.tech@gmail.com'],"The team will meet at 9am tomorrow on the third floor to discuss next week’s plan. Please prepare your personal progress report and unresolved issues. Make sure all related documents are updated. The meeting will help us adjust plans and allocate tasks more reasonably.",work
24,['lehoangminh.ai.tech@gmail.com'],"Please finish the report before the deadline to ensure project progress. If you have difficulties, contact your direct manager for timely support. All reports must be updated on the system before sending the hard copy. We need close cooperation to achieve common goals and best results.",work
25,['lehoangminh.ai.tech@gmail.com'],"The year-end promotion has officially started with discounts up to 70%. Hundreds of products from famous brands are waiting for you. Our customer service team is always ready to support 24/7. Don’t forget to check your cart to make sure you don’t miss any offer.",advertising
26,['lehoangminh.ai.tech@gmail.com'],"Super attractive weekend promotion: 50% off all items in store. We guarantee fast and free shipping for orders from 500,000 VND. Loyal customers will get extra points to redeem gifts. Hurry up to place your order and don’t miss the chance.",advertising
27,['lehoangminh.ai.tech@gmail.com'],"We bring a special offer: buy 1 product and get 1 free from our catalog. The program lasts only 3 days, so hurry to order. This is a great chance to save and get more quality products. Share this info with friends to enjoy the offer together.",advertising
28,['lehoangminh.ai.tech@gmail.com'],"Don’t miss the chance to own the newly launched product with many outstanding features. Order today to receive valuable gifts. Limited quantity and the offer is for the fastest customers only. Contact us now for more details and enjoy the best service.",advertising
